DATE & TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,SPL,SPH
2023-03-17 09:16:00,17165.0,17187.8,17165.0,17173.4,291400,Temp SPL,
2023-03-17 09:17:00,17174.6,17188.45,17170.1,17188.45,164800,,
2023-03-17 09:18:00,17189.15,17203.25,17189.15,17199.95,182800,,Temp SPH
2023-03-17 09:19:00,17199.95,17199.95,17168.25,17169.1,116650,,
2023-03-17 09:20:00,17166.45,17169.2,17152.65,17164.85,64450,,
2023-03-17 09:21:00,17161.5,17172.95,17155.0,17155.0,283950,,
2023-03-17 09:22:00,17154.5,17158.75,17145.6,17147.6,137700,,
2023-03-17 09:23:00,17146.55,17164.1,17145.95,17162.85,52400,,
2023-03-17 09:24:00,17165.6,17176.0,17152.2,17152.55,48400,,
2023-03-17 09:25:00,17156.0,17165.9,17150.85,17164.2,37700,,
2023-03-17 09:26:00,17164.8,17164.8,17142.5,17148.05,35400,,
2023-03-17 09:27:00,17147.05,17153.2,17141.9,17149.3,39900,Temp SPL,
2023-03-17 09:28:00,17148.0,17169.25,17143.75,17168.65,31500,,
2023-03-17 09:29:00,17172.0,17181.0,17171.65,17177.3,54900,,Temp SPH
2023-03-17 09:30:00,17175.0,17179.7,17161.4,17163.0,33950,,
2023-03-17 09:31:00,17168.0,17172.3,17162.0,17166.9,18750,,
2023-03-17 09:32:00,17169.85,17172.6,17151.3,17154.3,29300,,
2023-03-17 09:33:00,17155.65,17162.35,17144.4,17144.4,31350,,
2023-03-17 09:34:00,17143.05,17155.0,17141.0,17142.0,23500,,
2023-03-17 09:35:00,17143.8,17148.25,17132.15,17139.65,47700,,
2023-03-17 09:36:00,17141.0,17144.0,17127.7,17131.15,50350,,
2023-03-17 09:37:00,17132.3,17134.45,17122.75,17128.45,51900,,
2023-03-17 09:38:00,17128.45,17135.85,17122.1,17128.45,36200,,
2023-03-17 09:39:00,17127.8,17147.45,17125.0,17141.0,40050,,
2023-03-17 09:40:00,17140.05,17142.65,17135.0,17137.2,23650,,
2023-03-17 09:41:00,17139.7,17145.1,17135.0,17135.55,10900,,
2023-03-17 09:42:00,17135.35,17153.45,17135.35,17152.6,19900,,
2023-03-17 09:43:00,17150.0,17151.55,17132.75,17142.4,15950,,
2023-03-17 09:44:00,17142.0,17149.7,17140.05,17140.95,10400,,
2023-03-17 09:45:00,17141.85,17141.85,17122.55,17122.55,17950,,
2023-03-17 09:46:00,17124.4,17127.1,17116.0,17119.85,53650,,
2023-03-17 09:47:00,17118.55,17125.45,17115.2,17117.2,36800,,
2023-03-17 09:48:00,17120.0,17132.45,17120.0,17122.85,32850,,
2023-03-17 09:49:00,17122.05,17134.1,17122.05,17126.2,14900,,
2023-03-17 09:50:00,17126.2,17130.8,17119.6,17130.0,14400,,
2023-03-17 09:51:00,17128.1,17135.0,17127.05,17133.2,13850,,
2023-03-17 09:52:00,17133.2,17148.4,17132.1,17148.4,17550,,
2023-03-17 09:53:00,17148.9,17149.0,17130.25,17138.55,34800,,
2023-03-17 09:54:00,17141.0,17158.8,17141.0,17158.8,23100,,
2023-03-17 09:55:00,17159.0,17160.0,17152.1,17156.0,19900,,
2023-03-17 09:56:00,17155.35,17157.95,17144.4,17145.9,14950,,
2023-03-17 09:57:00,17146.5,17154.95,17141.0,17141.55,12300,,
2023-03-17 09:58:00,17140.0,17143.0,17133.55,17135.05,13700,,
2023-03-17 09:59:00,17133.55,17137.8,17125.0,17125.0,14450,,
2023-03-17 10:00:00,17125.0,17125.2,17108.3,17108.3,35300,,
2023-03-17 10:01:00,17105.1,17119.05,17103.0,17111.1,46800,,
2023-03-17 10:02:00,17109.85,17113.95,17104.55,17111.9,20900,,
2023-03-17 10:03:00,17111.0,17114.35,17101.5,17109.35,25350,,
2023-03-17 10:04:00,17108.1,17114.9,17106.55,17114.15,17150,,
2023-03-17 10:05:00,17114.7,17124.15,17110.0,17121.4,29800,,
2023-03-17 10:06:00,17124.95,17129.0,17118.0,17121.0,16650,,
2023-03-17 10:07:00,17120.95,17125.85,17110.55,17111.1,12300,,
2023-03-17 10:08:00,17111.1,17129.1,17110.55,17115.05,11450,,
