20230317 091600;17165;17187.8;17165;17173.4;291400
20230317 091700;17174.6;17188.45;17170.1;17188.45;164800
20230317 091800;17189.15;17203.25;17189.15;17199.95;182800
20230317 091900;17199.95;17199.95;17168.25;17169.1;116650
20230317 092000;17166.45;17169.2;17152.65;17164.85;64450
20230317 092100;17161.5;17172.95;17155;17155;283950
20230317 092200;17154.5;17158.75;17145.6;17147.6;137700
20230317 092300;17146.55;17164.1;17145.95;17162.85;52400
20230317 092400;17165.6;17176;17152.2;17152.55;48400
20230317 092500;17156;17165.9;17150.85;17164.2;37700
20230317 092600;17164.8;17164.8;17142.5;17148.05;35400
20230317 092700;17147.05;17153.2;17141.9;17149.3;39900
20230317 092800;17148;17169.25;17143.75;17168.65;31500
20230317 092900;17172;17181;17171.65;17177.3;54900
20230317 093000;17175;17179.7;17161.4;17163;33950
20230317 093100;17168;17172.3;17162;17166.9;18750
20230317 093200;17169.85;17172.6;17151.3;17154.3;29300
20230317 093300;17155.65;17162.35;17144.4;17144.4;31350
20230317 093400;17143.05;17155;17141;17142;23500
20230317 093500;17143.8;17148.25;17132.15;17139.65;47700
20230317 093600;17141;17144;17127.7;17131.15;50350
20230317 093700;17132.3;17134.45;17122.75;17128.45;51900
20230317 093800;17128.45;17135.85;17122.1;17128.45;36200
20230317 093900;17127.8;17147.45;17125;17141;40050
20230317 094000;17140.05;17142.65;17135;17137.2;23650
20230317 094100;17139.7;17145.1;17135;17135.55;10900
20230317 094200;17135.35;17153.45;17135.35;17152.6;19900
20230317 094300;17150;17151.55;17132.75;17142.4;15950
20230317 094400;17142;17149.7;17140.05;17140.95;10400
20230317 094500;17141.85;17141.85;17122.55;17122.55;17950
20230317 094600;17124.4;17127.1;17116;17119.85;53650
20230317 094700;17118.55;17125.45;17115.2;17117.2;36800
20230317 094800;17120;17132.45;17120;17122.85;32850
20230317 094900;17122.05;17134.1;17122.05;17126.2;14900
20230317 095000;17126.2;17130.8;17119.6;17130;14400
20230317 095100;17128.1;17135;17127.05;17133.2;13850
20230317 095200;17133.2;17148.4;17132.1;17148.4;17550
20230317 095300;17148.9;17149;17130.25;17138.55;34800
20230317 095400;17141;17158.8;17141;17158.8;23100
20230317 095500;17159;17160;17152.1;17156;19900
20230317 095600;17155.35;17157.95;17144.4;17145.9;14950
20230317 095700;17146.5;17154.95;17141;17141.55;12300
20230317 095800;17140;17143;17133.55;17135.05;13700
20230317 095900;17133.55;17137.8;17125;17125;14450
20230317 100000;17125;17125.2;17108.3;17108.3;35300
20230317 100100;17105.1;17119.05;17103;17111.1;46800
20230317 100200;17109.85;17113.95;17104.55;17111.9;20900
20230317 100300;17111;17114.35;17101.5;17109.35;25350
20230317 100400;17108.1;17114.9;17106.55;17114.15;17150
20230317 100500;17114.7;17124.15;17110;17121.4;29800
20230317 100600;17124.95;17129;17118;17121;16650
20230317 100700;17120.95;17125.85;17110.55;17111.1;12300
20230317 100800;17111.1;17129.1;17110.55;17115.05;11450
20230317 100900;17116.25;17127.95;17112.85;17124.85;6300
20230317 101000;17124.2;17126.8;17121.7;17122.05;4750
20230317 101100;17122.75;17126.45;17119.3;17123.1;5400
20230317 101200;17125;17141.85;17123.55;17135.5;21550
20230317 101300;17136.95;17138.9;17129.95;17129.95;10500
20230317 101400;17129.3;17138;17129.3;17133.45;6050
20230317 101500;17134;17139;17126;17137;9350
20230317 101600;17137;17156;17135.55;17153.5;36400
20230317 101700;17150.3;17156;17150.3;17153.35;19050
20230317 101800;17154.2;17160;17152.6;17152.6;25800
20230317 101900;17152.3;17159.25;17146;17146;23750
20230317 102000;17147.8;17152.95;17138.75;17138.9;16300
20230317 102100;17138;17148.55;17138;17147.4;13950
20230317 102200;17147.1;17153.05;17143.4;17151.85;8550
20230317 102300;17152.95;17153;17145.05;17146.15;10800
20230317 102400;17147.2;17148.35;17140.9;17145.1;8300
20230317 102500;17144.35;17144.9;17132.05;17134.2;11250
20230317 102600;17134.05;17134.05;17122.7;17122.7;23000
20230317 102700;17124.2;17139.95;17122.7;17136;18250
20230317 102800;17136.1;17139.75;17132.45;17139.75;5450
20230317 102900;17138.5;17147.9;17135;17137.5;7850
20230317 103000;17137.35;17137.35;17126.4;17129.8;7450
20230317 103100;17131.3;17139.05;17131.3;17135;12450
20230317 103200;17135;17136.95;17126.2;17126.2;7950
20230317 103300;17128.7;17160.15;17128.7;17160;381750
20230317 103400;17160.05;17160.65;17135.25;17135.25;299600
20230317 103500;17134.2;17139.05;17130.7;17130.7;18050
20230317 103600;17131.9;17142.35;17131.9;17135.25;10300
20230317 103700;17136.85;17136.9;17128.7;17129.2;9400
20230317 103800;17129.2;17131.2;17123.95;17130.1;28350
20230317 103900;17130;17134.7;17124;17124.15;23250
20230317 104000;17124.15;17125.4;17115.05;17118.2;39850
20230317 104100;17115.75;17123.95;17112.15;17121.6;13650
20230317 104200;17123.95;17125;17118;17120;11800
20230317 104300;17119.2;17124;17119.15;17124;5200
20230317 104400;17122;17134.7;17121;17133.25;7600
20230317 104500;17131;17131.9;17123.75;17124.45;4900
20230317 104600;17123.1;17124.8;17120;17124.4;18400
20230317 104700;17125.95;17130.4;17123.6;17125.75;5600
20230317 104800;17127.25;17127.25;17118.8;17119.8;9050
20230317 104900;17119.8;17123.05;17116;17117;6350
20230317 105000;17116.2;17120;17113;17118;11850
20230317 105100;17117.15;17121;17110;17113.25;15650
20230317 105200;17113.45;17113.45;17105.1;17108.1;27650
20230317 105300;17107.85;17112;17104.3;17112;20600
20230317 105400;17112;17116.25;17110.1;17115.8;17700
20230317 105500;17115.85;17117.95;17112.9;17117.9;16750
20230317 105600;17118;17122.5;17110.25;17116.15;14050
20230317 105700;17116.95;17119.9;17116.1;17119.9;6100
20230317 105800;17121.95;17129.95;17118;17129.4;15950
20230317 105900;17129.95;17129.95;17122;17127.6;11600
20230317 110000;17130.15;17130.95;17122;17122;5450
20230317 110100;17122;17133.45;17117.4;17118;61050
20230317 110200;17118;17125;17116.3;17124;16900
20230317 110300;17124;17130;17122.15;17130;13000
20230317 110400;17129.35;17131.4;17121;17126;7250
20230317 110500;17128.05;17128.05;17111.3;17111.3;6600
20230317 110600;17111.5;17116;17107;17111.1;14950
20230317 110700;17111;17115;17106.4;17113.25;9550
20230317 110800;17111.1;17116.95;17110;17116.55;6550
20230317 110900;17116.1;17118.45;17114;17115.9;4800
20230317 111000;17114.5;17114.75;17103.5;17103.5;14350
20230317 111100;17102;17105.55;17092.1;17092.1;47750
20230317 111200;17092.1;17107.3;17092.1;17103.65;25400
20230317 111300;17102;17102;17092;17092;18400
20230317 111400;17092;17100;17090.5;17097.15;38350
20230317 111500;17097.2;17097.2;17084.65;17090.05;38850
20230317 111600;17092.25;17094.95;17086.35;17092.55;24950
20230317 111700;17094.4;17098.1;17091.4;17094.95;17800
20230317 111800;17094.9;17102.85;17090.15;17099.9;16050
20230317 111900;17099.9;17100;17087.05;17088.85;11600
20230317 112000;17088.9;17089.05;17083.3;17086;13150
20230317 112100;17085;17092.5;17080.35;17092.5;19650
20230317 112200;17090;17093.45;17083.15;17083.9;8950
20230317 112300;17083.9;17083.9;17078;17083.9;29750
20230317 112400;17083.85;17090.95;17082.65;17090.95;10400
20230317 112500;17091.1;17092.95;17085.05;17092.95;9500
20230317 112600;17092.95;17104.85;17091.85;17102;18650
20230317 112700;17103.95;17105.55;17090;17093.45;15950
20230317 112800;17091.05;17097.7;17089.9;17092.5;7450
20230317 112900;17092.5;17092.5;17085.15;17090.45;8150
20230317 113000;17086;17087.8;17082.55;17087.8;12350
20230317 113100;17087.75;17090.8;17082.75;17084.85;7500
20230317 113200;17086;17087;17075;17076.05;21550
20230317 113300;17075.8;17077.95;17068;17070.85;60200
20230317 113400;17070;17072.1;17064;17065.05;31050
20230317 113500;17065;17069.9;17061;17068.45;90500
20230317 113600;17069.1;17069.85;17064.3;17066;28050
20230317 113700;17065;17066.9;17060.9;17066.9;15950
20230317 113800;17067.4;17068;17059;17059;22750
20230317 113900;17060;17062.2;17055.55;17055.55;20550
20230317 114000;17054;17060.6;17052;17056.9;33700
20230317 114100;17055;17057.95;17051;17051.55;21200
20230317 114200;17051.9;17055;17048.3;17053.95;67650
20230317 114300;17055.95;17062.5;17053.9;17062.5;27550
20230317 114400;17062.05;17072.95;17057.75;17070.75;30250
20230317 114500;17070.95;17070.95;17063.9;17066.55;17200
20230317 114600;17069.8;17072.5;17061.75;17065.4;17200
20230317 114700;17065.5;17075;17065;17073.6;18150
20230317 114800;17073.45;17082;17073.15;17080;33950
20230317 114900;17079.1;17085.4;17077.25;17083.75;31600
20230317 115000;17086.1;17086.1;17070.05;17071.4;24950
20230317 115100;17069.7;17082;17067.7;17077.15;16800
20230317 115200;17077.2;17078.25;17071.45;17074.7;8400
20230317 115300;17075.6;17079;17072.8;17074.75;10300
20230317 115400;17075.05;17087.4;17074.45;17086;21650
20230317 115500;17087.15;17094.5;17083.4;17094;22950
20230317 115600;17095.7;17098.15;17090.7;17098.15;17650
20230317 115700;17098.6;17106.95;17098.6;17102.35;35100
20230317 115800;17103.35;17103.5;17093.75;17099.95;16000
20230317 115900;17099;17106;17096.15;17104;10000
20230317 120000;17105;17106.35;17098.1;17102.4;16650
20230317 120100;17104;17120;17104;17120;96000
20230317 120200;17119.5;17119.5;17104.35;17104.35;21800
20230317 120300;17103.05;17103.05;17096.65;17098;11800
20230317 120400;17095.2;17101;17090;17090;13600
20230317 120500;17090.35;17095;17085;17087.55;19150
20230317 120600;17086.35;17096.85;17076.55;17076.55;19000
20230317 120700;17078.4;17087.35;17078.4;17083.8;13250
20230317 120800;17086;17086.3;17075.95;17078;18000
20230317 120900;17077.9;17077.9;17064.9;17065.1;31950
20230317 121000;17064.3;17064.3;17054;17054;28450
20230317 121100;17054;17060;17051.85;17056;78350
20230317 121200;17057.55;17057.9;17040.05;17042.55;41950
20230317 121300;17041.8;17045;17037.9;17041.3;35350
20230317 121400;17042.5;17059.95;17041.35;17059.95;25700
20230317 121500;17058.4;17058.4;17045;17046.9;20550
20230317 121600;17045;17052.8;17042.25;17045;16300
20230317 121700;17046.1;17047.1;17040;17045;18900
20230317 121800;17044.9;17053.4;17042.25;17051.2;13150
20230317 121900;17050;17052.9;17047.25;17052.9;8400
20230317 122000;17052.3;17052.9;17032.2;17039.95;32200
20230317 122100;17037.95;17041;17035.5;17036.25;26100
20230317 122200;17034.25;17034.25;17020.05;17029.25;75600
20230317 122300;17029.7;17039.9;17027;17034;17450
20230317 122400;17034;17046.55;17034;17043.85;15550
20230317 122500;17043.9;17046.7;17038;17039.85;26700
20230317 122600;17041.85;17048;17038.9;17048;19900
20230317 122700;17047.3;17052.9;17039.9;17041.75;13050
20230317 122800;17041.9;17043.95;17035.1;17038.4;6550
20230317 122900;17038.5;17049.85;17036.2;17049.85;13000
20230317 123000;17051.3;17051.3;17042.35;17046.95;13050
20230317 123100;17046;17058.45;17045.75;17058.45;22000
20230317 123200;17058;17060;17052.25;17059.9;18500
20230317 123300;17059.9;17059.9;17048;17048.85;11250
20230317 123400;17046.75;17053.6;17041.2;17041.2;9250
20230317 123500;17041.9;17045.9;17039.2;17040;10650
